epoch,train_loss,specificity,sensitivity,hsas_97,threshold,tn,fp,fn,tp,nll,brier,auc,pr_auc,learning_rate,selected,selection_reason
1,0.16711650237498266,0.934156378600823,0.9715447154471545,0.840893874736312,0.006922668777406216,227,16,14,478,0.28583343577045506,0.05992992484538782,0.9938104319314799,0.997184191130595,0.0001,True,first
2,0.10777850906344956,0.9423868312757202,0.9715447154471545,0.853585858048591,0.10104828327894211,229,14,14,478,0.15161205536797692,0.03873545339390733,0.9927899896282912,0.99665146696962,0.0001,True,higher_specificity
3,0.08572057870416876,0.9629629629629629,0.9715447154471545,0.8833038373660964,0.37461504340171814,234,9,14,478,0.11100921582173531,0.026139432044961688,0.9954331024791729,0.9978702036151048,0.0001,True,higher_specificity
4,0.073475881279473,0.9917695473251029,0.9715447154471545,0.9397714847773377,0.5987477600574493,241,2,14,478,0.0696927448529796,0.018987924562384566,0.997524172772592,0.9988038830498196,0.0001,True,higher_specificity
5,0.06779837737221006,0.9917695473251029,0.9715447154471545,0.9437552598283787,0.06335964053869247,241,2,14,478,0.19112707783268731,0.046465403001353975,0.9980511224865336,0.9990856512320194,0.0001,True,specificity_tie_higher_hsas
6,0.05351331054399258,0.9670781893004116,0.9715447154471545,0.8890905887362532,0.011114642838947475,235,8,14,478,0.2611482233796457,0.056208721059591155,0.9959182307872461,0.9981156740229751,0.0001,False,lower_specificity
7,0.0534244561925416,0.9588477366255144,0.9715447154471545,0.874169730971418,0.1720491647720337,233,10,14,478,0.14180316538703003,0.0306520548533932,0.9947974171099736,0.997570478683274,0.0001,False,lower_specificity
8,0.06122068141009694,0.9753086419753086,0.9715447154471545,0.9152247460194691,0.6767050623893738,237,6,14,478,0.08185399423805038,0.02295703010647583,0.9957091237579042,0.9978998434533343,3e-05,False,lower_specificity
9,0.04017282533861568,0.9876543209876543,0.9715447154471545,0.9366321782959112,0.23615876212716103,240,3,14,478,0.11695663549749855,0.02924770908632326,0.9974572585232026,0.9987753236434999,3e-05,False,specificity_tie_lower_hsas
10,0.030754766164208098,0.9835390946502057,0.9715447154471545,0.9501623681612185,0.4142026901245117,239,4,14,478,0.06643478639445753,0.018865734444117935,0.9982016795476596,0.9991340846518497,3e-05,False,lower_specificity
