split,class,filename,format,mode,width,height,progressive,n_qtables,qtable_hash,estimated_quality,file_size,megapixels,bytes_per_megapixel
train,NORMAL,IM-0115-0001.jpeg,JPEG,L,2090,1858,False,1,bc79aa8c5699,95.51785714285714,870784,3.88322,224.24276760008445
train,NORMAL,IM-0117-0001.jpeg,JPEG,L,1422,1152,False,1,bc79aa8c5699,95.51785714285714,406305,1.638144,248.02764592123768
train,NORMAL,IM-0119-0001.jpeg,JPEG,L,1810,1434,False,1,bc79aa8c5699,95.51785714285714,582639,2.59554,224.47698744769875
train,NORMAL,IM-0122-0001.jpeg,JPEG,L,1618,1279,False,1,bc79aa8c5699,95.51785714285714,471556,2.069422,227.868457955893
train,NORMAL,IM-0125-0001.jpeg,JPEG,L,1600,1125,False,1,bc79aa8c5699,95.51785714285714,451292,1.8,250.71777777777777
train,NORMAL,IM-0127-0001.jpeg,JPEG,L,1974,1306,False,1,bc79aa8c5699,95.51785714285714,669289,2.578044,259.6111625713138
train,NORMAL,IM-0128-0001.jpeg,JPEG,L,1528,1013,False,1,bc79aa8c5699,95.51785714285714,400647,1.547864,258.83863181778247
train,NORMAL,IM-0129-0001.jpeg,JPEG,L,1384,1167,False,1,bc79aa8c5699,95.51785714285714,420270,1.615128,260.2084788326374
train,NORMAL,IM-0131-0001.jpeg,JPEG,L,1450,1144,False,1,bc79aa8c5699,95.51785714285714,458085,1.6588,276.15444899927655
train,NORMAL,IM-0133-0001.jpeg,JPEG,L,1468,993,False,1,bc79aa8c5699,95.51785714285714,384933,1.457724,264.0643907900261
train,NORMAL,IM-0135-0001.jpeg,JPEG,L,1724,1581,False,1,bc79aa8c5699,95.51785714285714,723911,2.725644,265.59264526108325
train,NORMAL,IM-0137-0001.jpeg,JPEG,L,1346,1044,False,1,bc79aa8c5699,95.51785714285714,411500,1.405224,292.8358752768242
train,NORMAL,IM-0140-0001.jpeg,JPEG,L,1156,1237,False,1,bc79aa8c5699,95.51785714285714,500621,1.429972,350.0914703224958
train,NORMAL,IM-0141-0001.jpeg,JPEG,L,1740,1453,False,1,bc79aa8c5699,95.51785714285714,661741,2.52822,261.7418579079352
train,NORMAL,IM-0143-0001.jpeg,JPEG,L,2138,1928,False,1,bc79aa8c5699,95.51785714285714,1062837,4.122064,257.84097481261813
train,NORMAL,IM-0145-0001.jpeg,JPEG,L,1596,1156,False,1,bc79aa8c5699,95.51785714285714,505771,1.844976,274.13418927942695
train,NORMAL,IM-0147-0001.jpeg,JPEG,L,2102,1974,False,1,bc79aa8c5699,95.51785714285714,1063312,4.149348,256.2600196464601
train,NORMAL,IM-0149-0001.jpeg,JPEG,L,1542,1152,False,1,bc79aa8c5699,95.51785714285714,442743,1.776384,249.23834035884133
train,NORMAL,IM-0151-0001.jpeg,JPEG,L,1518,1156,False,1,bc79aa8c5699,95.51785714285714,423973,1.754808,241.60648914297178
train,NORMAL,IM-0152-0001.jpeg,JPEG,L,1612,1133,False,1,bc79aa8c5699,95.51785714285714,481217,1.826396,263.4790045532294
train,NORMAL,IM-0154-0001.jpeg,JPEG,L,1844,1438,False,1,bc79aa8c5699,95.51785714285714,593087,2.651672,223.66529495352367
train,NORMAL,IM-0156-0001.jpeg,JPEG,L,1488,1209,False,1,bc79aa8c5699,95.51785714285714,489481,1.798992,272.08625719291695
train,NORMAL,IM-0158-0001.jpeg,JPEG,L,994,758,False,1,bc79aa8c5699,95.51785714285714,214302,0.753452,284.42687789003145
train,NORMAL,IM-0160-0001.jpeg,JPEG,L,1750,1314,False,1,bc79aa8c5699,95.51785714285714,600582,2.2995,261.17938682322244
train,NORMAL,IM-0162-0001.jpeg,JPEG,L,1762,1430,False,1,bc79aa8c5699,95.51785714285714,682625,2.51966,270.9194891374233
train,NORMAL,IM-0164-0001.jpeg,JPEG,L,1202,808,False,1,bc79aa8c5699,95.51785714285714,259534,0.971216,267.22582824006196
train,NORMAL,IM-0166-0001.jpeg,JPEG,L,1972,1719,False,1,bc79aa8c5699,95.51785714285714,851740,3.389868,251.2605210586371
train,NORMAL,IM-0168-0001.jpeg,JPEG,L,1534,1187,False,1,bc79aa8c5699,95.51785714285714,480602,1.820858,263.94260288281674
train,NORMAL,IM-0170-0001.jpeg,JPEG,L,2148,1496,False,1,bc79aa8c5699,95.51785714285714,844309,3.213408,262.7456581921748
train,NORMAL,IM-0172-0001.jpeg,JPEG,L,1876,1893,False,1,bc79aa8c5699,95.51785714285714,772375,3.551268,217.49273780520085
train,NORMAL,IM-0176-0001.jpeg,JPEG,L,1680,1557,False,1,bc79aa8c5699,95.51785714285714,721754,2.61576,275.9251613297856
train,NORMAL,IM-0177-0001.jpeg,JPEG,L,2172,1615,False,1,bc79aa8c5699,95.51785714285714,728412,3.50778,207.65612438636404
train,NORMAL,IM-0178-0001.jpeg,JPEG,L,1646,1124,False,1,bc79aa8c5699,95.51785714285714,477494,1.850104,258.0903560016086
train,NORMAL,IM-0180-0001.jpeg,JPEG,L,2136,1650,False,1,bc79aa8c5699,95.51785714285714,965264,3.5244,273.8803768017251
train,NORMAL,IM-0182-0001.jpeg,JPEG,L,1372,1005,False,1,bc79aa8c5699,95.51785714285714,352757,1.37886,255.8323542636671
train,NORMAL,IM-0183-0001.jpeg,JPEG,L,2338,2025,False,1,bc79aa8c5699,95.51785714285714,1072697,4.73445,226.57267475630746
train,NORMAL,IM-0185-0001.jpeg,JPEG,L,1458,1190,False,1,bc79aa8c5699,95.51785714285714,430109,1.73502,247.8985833016334
train,NORMAL,IM-0187-0001.jpeg,JPEG,L,1854,1572,False,1,bc79aa8c5699,95.51785714285714,716369,2.914488,245.7958310344733
train,NORMAL,IM-0189-0001.jpeg,JPEG,L,1466,1109,False,1,bc79aa8c5699,95.51785714285714,415537,1.625794,255.59019162329298
train,NORMAL,IM-0191-0001.jpeg,JPEG,L,2164,1746,False,1,bc79aa8c5699,95.51785714285714,947803,3.778344,250.85143120901643
train,NORMAL,IM-0193-0001.jpeg,JPEG,L,2010,1747,False,1,bc79aa8c5699,95.51785714285714,862553,3.51147,245.63872110540598
train,NORMAL,IM-0195-0001.jpeg,JPEG,L,1774,1546,False,1,bc79aa8c5699,95.51785714285714,703927,2.742604,256.66374000767155
train,NORMAL,IM-0199-0001.jpeg,JPEG,L,1506,833,False,1,bc79aa8c5699,95.51785714285714,318976,1.254498,254.2658497662013
train,NORMAL,IM-0201-0001.jpeg,JPEG,L,1446,1310,False,1,bc79aa8c5699,95.51785714285714,495475,1.89426,261.5665220191526
train,NORMAL,IM-0203-0001.jpeg,JPEG,L,1434,1260,False,1,bc79aa8c5699,95.51785714285714,482700,1.80684,267.15149100086336
train,NORMAL,IM-0205-0001.jpeg,JPEG,L,1554,1075,False,1,bc79aa8c5699,95.51785714285714,457184,1.67055,273.67274250995183
train,NORMAL,IM-0206-0001.jpeg,JPEG,L,1040,747,False,1,bc79aa8c5699,95.51785714285714,253602,0.77688,326.436515291937
train,NORMAL,IM-0207-0001.jpeg,JPEG,L,1426,1049,False,1,bc79aa8c5699,95.51785714285714,418511,1.495874,279.7769063437161
train,NORMAL,IM-0209-0001.jpeg,JPEG,L,1164,1021,False,1,bc79aa8c5699,95.51785714285714,318115,1.188444,267.67352942166394
train,NORMAL,IM-0210-0001.jpeg,JPEG,L,1688,1105,False,1,bc79aa8c5699,95.51785714285714,463259,1.86524,248.36428556110744
