experiment,calibrator,split,position,threshold,auc,pr_auc,brier,log_loss,ece_fixed,ece_adaptive,calibration_slope,calibration_intercept,sensitivity,specificity,tn,fp,fn,tp
resnet18,raw,oof_cross_fitted,n/a,0.8857100605964661,0.9993698414558605,0.9996884827381082,0.009475009389575722,0.03414718801027402,0.0072267733639715765,0.006710284696326346,0.8303107591547804,0.8558715188198707,0.970204081632653,0.9967186218211649,1215,4,73,2377
resnet18,raw,known_benchmark,post_ensemble,0.8857100605964661,0.9488669950738916,0.9276675918863335,0.2028442865916296,1.1079241589570294,0.23499812536809067,0.23500029981268775,0.5007628884205814,-3.034046257575185,0.9950738916256158,0.7022222222222222,158,67,1,202
resnet18,raw,known_benchmark,pre_ensemble,0.8857100605964661,0.9488669950738916,0.9276675918863335,0.2028442865916296,1.1079241589570294,0.23499812536809067,0.23500029981268775,0.5007628884205814,-3.034046257575185,0.9950738916256158,0.7022222222222222,158,67,1,202
resnet18,temperature,oof_cross_fitted,n/a,0.8499603314533224,0.9993648189382397,0.9996857741060802,0.00928725962590302,0.03280345645410115,0.007185805972871182,0.007135493266752877,0.9985535329152413,0.851777580966735,0.970204081632653,0.9967186218211649,1215,4,73,2377
resnet18,temperature,known_benchmark,post_ensemble,0.8499603314533224,0.9488669950738916,0.9276675918863335,0.19756527638764282,0.9396480268971092,0.23488826879965846,0.23490272437074283,0.6050411444262124,-3.0340248592151,0.9950738916256158,0.7022222222222222,158,67,1,202
resnet18,temperature,known_benchmark,pre_ensemble,0.8499603314533224,0.9501258894362343,0.9316901290108317,0.19878342252656742,0.9705753890413984,0.23464023992581023,0.23464023992581026,0.6036339043393637,-3.16321770849296,0.9950738916256158,0.7022222222222222,158,67,1,202
resnet18,intercept,oof_cross_fitted,n/a,0.9574964307346171,0.9993427198607088,0.9996750004348143,0.008730435929585481,0.03127185608359959,0.005650595097991285,0.002885782009512493,0.8282689090935758,-0.05649264993813153,0.970204081632653,0.9967186218211649,1215,4,73,2377
resnet18,intercept,known_benchmark,post_ensemble,0.9574964307346171,0.9488669950738916,0.9276675918863335,0.2433886449513276,1.3953013815252313,0.2765655700735238,0.2765662774524539,0.5016434469710153,-3.60164619931586,0.9950738916256158,0.7022222222222222,158,67,1,202
resnet18,intercept,known_benchmark,pre_ensemble,0.9574964307346171,0.9501696770662288,0.931941193470092,0.23175430359736043,1.3909759012547804,0.2652066517645999,0.26520688526922326,0.4858112631766702,-3.5774635200115417,0.9950738916256158,0.7022222222222222,158,67,1,202
resnet18,platt,oof_cross_fitted,n/a,0.9372165824233629,0.9993313354874354,0.9996687670782987,0.00866224530052881,0.03061974572829396,0.003007101980890851,0.0012922452744277124,0.9648362480336199,-0.047185509063361664,0.970204081632653,0.9967186218211649,1215,4,73,2377
resnet18,platt,known_benchmark,post_ensemble,0.9372165824233629,0.9488669950738916,0.9276675918863335,0.23725612407277125,1.2082506231105696,0.2754823802409962,0.2754865579027407,0.5864463337919666,-3.592870857157674,0.9950738916256158,0.7022222222222222,158,67,1,202
resnet18,platt,known_benchmark,pre_ensemble,0.9372165824233629,0.9510454296661193,0.93517171259157,0.22832702300005914,1.2150874095974629,0.26453960505902374,0.2645431647977947,0.5880452568486156,-3.7294649430018434,0.9950738916256158,0.6977777777777778,157,68,1,202
resnet18,beta,oof_cross_fitted,n/a,0.9377296128832183,0.9993310006529272,0.9996685725472221,0.008680803009522252,0.0306542026066828,0.0032047279392674066,0.001321361008218905,0.9629777881256119,-0.04735692774084357,0.970204081632653,0.9967186218211649,1215,4,73,2377
resnet18,beta,known_benchmark,post_ensemble,0.9377296128832183,0.9488669950738916,0.9276675918863335,0.23759327801281666,1.2020450554486937,0.27571582829460295,0.275720459232644,0.5938020811857643,-3.609812913499214,0.9950738916256158,0.7022222222222222,158,67,1,202
resnet18,beta,known_benchmark,pre_ensemble,0.9377296128832183,0.9490311986863711,0.9293176906111589,0.22780744704854833,1.23001780042897,0.26366191541710987,0.26366348884761676,0.5788392391365846,-3.699690220714999,0.9950738916256158,0.6844444444444444,154,71,1,202
resnet18,isotonic,oof_cross_fitted,n/a,0.9375,0.9987140680718554,0.9991033330449461,0.008696300621758338,0.036819866834961246,0.005296844408836992,0.002016012737714029,0.7462262102337756,-0.020204657918186465,0.9710204081632653,0.9958982772764561,1214,5,71,2379
resnet18,isotonic,known_benchmark,post_ensemble,0.9375,0.9151395730706074,0.8455803933919721,0.23713313712967915,1.8021223863330902,0.275075018357016,0.2750750576093523,0.2929440083087797,-2.89886081079175,0.9950738916256158,0.6311111111111111,142,83,1,202
resnet18,isotonic,known_benchmark,pre_ensemble,0.9375,0.9065353037766831,0.8341892734571927,0.23028522723082132,1.9406943351033858,0.2658263275798841,0.2658705473166805,0.27023977800405463,-2.6537158761586355,0.9901477832512315,0.68,153,72,2,201
stretch_nhe,raw,oof_cross_fitted,n/a,0.8309692740440369,0.9991063266980295,0.9995780148643355,0.010559137892240718,0.040250127943625424,0.010020663038371947,0.008556100319356818,0.8471543498183254,0.9442042519900693,0.970204081632653,0.9975389663658737,1216,3,73,2377
stretch_nhe,raw,known_benchmark,post_ensemble,0.8309692740440369,0.9669184455391353,0.9470995699313709,0.1489190337515574,0.6565665807372018,0.18356098408790777,0.18487368846572794,0.6317426372536592,-2.7460556503165456,0.9901477832512315,0.7644444444444445,172,53,2,201
stretch_nhe,raw,known_benchmark,pre_ensemble,0.8309692740440369,0.9669184455391353,0.9470995699313709,0.1489190337515574,0.6565665807372018,0.18356098408790777,0.18487368846572794,0.6317426372536592,-2.7460556503165456,0.9901477832512315,0.7644444444444445,172,53,2,201
stretch_nhe,temperature,oof_cross_fitted,n/a,0.7978533162454166,0.999073178081733,0.9995643910416917,0.010438696325058894,0.039385822772981346,0.010906073358305221,0.009253684596099408,1.0048031890626727,0.9319921403235767,0.970204081632653,0.9967186218211649,1215,4,73,2377
stretch_nhe,temperature,known_benchmark,post_ensemble,0.7978533162454166,0.9669184455391353,0.9470995699313709,0.1443444301853664,0.5764546748083926,0.18383615416292165,0.1839281596359015,0.7518833368161464,-2.746010571149259,0.9901477832512315,0.7644444444444445,172,53,2,201
stretch_nhe,temperature,known_benchmark,pre_ensemble,0.7978533162454166,0.9675314723590586,0.9502467812191375,0.14648335226853518,0.5983226324797405,0.18420235901288565,0.18425078455990662,0.7268600498745146,-2.8144393010515563,0.9950738916256158,0.76,171,54,1,202
stretch_nhe,intercept,oof_cross_fitted,n/a,0.938800277020184,0.999087575965579,0.9995687925324529,0.010210827718235931,0.03589219621905599,0.005670028923380748,0.003834358147576193,0.8469430126293835,-0.0629515744485852,0.970204081632653,0.9967186218211649,1215,4,73,2377
stretch_nhe,intercept,known_benchmark,post_ensemble,0.938800277020184,0.9669184455391353,0.9470995699313709,0.19930904315707856,0.9136584084015512,0.2376432493497239,0.23764931337044262,0.6317629019125289,-3.517442444838805,0.9901477832512315,0.76,171,54,2,201
stretch_nhe,intercept,known_benchmark,pre_ensemble,0.938800277020184,0.9658894362342638,0.9458201183882087,0.18505907255839812,0.882826091430332,0.22406584580508443,0.22319870898062696,0.6085047950436286,-3.3793753770667676,0.9852216748768473,0.7733333333333333,174,51,3,200
stretch_nhe,platt,oof_cross_fitted,n/a,0.9180183922204868,0.999057440859855,0.9995563607564287,0.010087146689335072,0.03552797010076857,0.006747435556784458,0.001992801202032702,0.9839994706337466,-0.07489398872255845,0.970204081632653,0.9967186218211649,1215,4,73,2377
stretch_nhe,platt,known_benchmark,post_ensemble,0.9180183922204868,0.9669184455391353,0.9470995699313709,0.19388808587624579,0.8086794308614683,0.2381860693608319,0.23753384047657555,0.7351465044283638,-3.5238249336487044,0.9901477832512315,0.7644444444444445,172,53,2,201
stretch_nhe,platt,known_benchmark,pre_ensemble,0.9180183922204868,0.966152162014231,0.9511533700509771,0.18247148444991595,0.8144288017176968,0.22355858901959696,0.22356041499797616,0.6758695016220126,-3.4148674594833572,0.9901477832512315,0.76,171,54,2,201
stretch_nhe,beta,oof_cross_fitted,n/a,0.9214795581443093,0.9990323282717517,0.9995451447501889,0.009984004015401506,0.034718245123717066,0.004845422831962336,0.0018634271017421533,0.9798443900420772,-0.07985570312710474,0.970204081632653,0.9967186218211649,1215,4,73,2377
stretch_nhe,beta,known_benchmark,post_ensemble,0.9214795581443093,0.9669184455391353,0.9470995699313709,0.18561653806992612,0.949149463750293,0.2298936643535991,0.22989427026646037,0.5062821316538715,-3.1889277009857167,0.9901477832512315,0.76,171,54,2,201
stretch_nhe,beta,known_benchmark,pre_ensemble,0.9214795581443093,0.9656267104542966,0.945389520785558,0.17908669781828584,0.8848808804538467,0.21968210515884018,0.21968302843813373,0.567713852414395,-3.2445436764177877,0.9901477832512315,0.7644444444444445,172,53,2,201
stretch_nhe,isotonic,oof_cross_fitted,n/a,0.8648648648648649,0.9983485962063251,0.9989676706735562,0.010343083969075073,0.04211271469282372,0.00826799101769268,0.0021686292205254356,0.7291096057490374,-0.255436228494738,0.9722448979591837,0.9934372436423298,1211,8,68,2382
stretch_nhe,isotonic,known_benchmark,post_ensemble,0.8648648648648649,0.9023973727422003,0.8246051291938223,0.1836220386480167,1.8261133832820904,0.23197329959612983,0.2319733654839802,0.3373229003954814,-3.874341748701055,0.9950738916256158,0.7377777777777778,166,59,1,202
stretch_nhe,isotonic,known_benchmark,pre_ensemble,0.8648648648648649,0.9320087575259989,0.8748252563824314,0.18183128382403504,1.4549314471612516,0.22244906524027536,0.22244906524027525,0.31244556522542877,-3.0603380064410404,0.9950738916256158,0.7333333333333333,165,60,1,202
augment_manh,raw,oof_cross_fitted,n/a,0.7969589332739512,0.9990333327752758,0.9995297458384371,0.011218543843076141,0.039129283965774614,0.008230331691250795,0.006433085750311159,1.0597353567832362,0.600965470888442,0.970204081632653,0.9967186218211649,1215,4,73,2377
augment_manh,raw,known_benchmark,post_ensemble,0.7969589332739512,0.9560591133004926,0.9461273007571409,0.19412223325689007,0.8951229035682605,0.2355715968690837,0.23557474955689753,0.6638158128269789,-3.303105336833514,0.9950738916256158,0.6755555555555556,152,73,1,202
