experiment,fold,clip,n_source,n_target,ks_normal,ks_p_normal,wasserstein_normal,median_gap_normal,n_source_normal,n_target_normal,ks_pneumonia,ks_p_pneumonia,wasserstein_pneumonia,median_gap_pneumonia,n_source_pneumonia,n_target_pneumonia
resnet18,0,0.0001,735,428,0.6732510288065844,6.687506702099623e-51,8.30505621046682,9.42291211006803,243,225,0.07868757259001162,0.3153177490210981,0.2862360561806304,0.0,492,203
resnet18,0,1e-06,735,428,0.6732510288065844,6.687506702099623e-51,10.609119106549352,11.693059477072742,243,225,0.10980615963795105,0.05702706604423155,0.6969722624455568,1.0519687245410054,492,203
resnet18,0,1e-08,735,428,0.6732510288065844,6.687506702099623e-51,11.168449829835394,11.693059477072742,243,225,0.11487244182786656,0.04089958072652163,1.0511945331447325,1.0519687245410054,492,203
resnet18,1,0.0001,734,428,0.6924590163934427,3.025887982771309e-54,7.087615199686141,7.01080823749736,244,225,0.11703026038001407,0.03557632069474147,0.4669051448244341,0.0,490,203
resnet18,1,1e-06,734,428,0.6924590163934427,3.025887982771309e-54,9.202886837314662,9.286030942681922,244,225,0.11822660098522167,0.03277466255683384,0.787349730615161,0.5503707452433808,490,203
resnet18,1,1e-08,734,428,0.6924590163934427,3.025887982771309e-54,9.591590859027264,9.286030942681922,244,225,0.11822660098522167,0.03277466255683384,1.0327017625627857,0.5503707452433808,490,203
resnet18,2,0.0001,734,428,0.6825318761384335,1.5017457785803346e-52,7.537869731569128,8.530935434488804,244,225,0.09345531315974666,0.15111779739281067,0.3093606983440655,0.0,490,203
resnet18,2,1e-06,734,428,0.6825318761384335,1.5017457785803346e-52,10.298428187244777,12.582094277181897,244,225,0.10767065446868403,0.06567054803965193,0.6726640933847352,0.6408619984932749,490,203
resnet18,2,1e-08,734,428,0.6825318761384335,1.5017457785803346e-52,11.587848880313418,12.582094277181897,244,225,0.10767065446868403,0.06567054803965193,0.7230404464081128,0.6408619984932749,490,203
resnet18,3,0.0001,734,428,0.6489981785063752,4.47029909351385e-47,7.467909112224216,8.072619981922168,244,225,0.12195636875439832,0.02524411616138796,0.39699436489192447,0.0,490,203
resnet18,3,1e-06,734,428,0.6489981785063752,4.47029909351385e-47,9.719064614492385,10.813400241704697,244,225,0.13187895847994371,0.012116624318686833,0.7466575929741821,0.7216456368759996,490,203
resnet18,3,1e-08,734,428,0.6489981785063752,4.47029909351385e-47,10.518220912715076,10.813400241704697,244,225,0.13187895847994371,0.012116624318686833,0.9547789367140505,0.7216456368759996,490,203
resnet18,4,0.0001,732,428,0.6216393442622951,6.660461535649032e-43,7.365152876485262,8.035700083192182,244,225,0.06955099733505613,0.46604722488126665,0.30950696149710855,0.0,488,203
resnet18,4,1e-06,732,428,0.6216393442622951,6.660461535649032e-43,9.452902529403705,9.965875417566295,244,225,0.11758055398530243,0.03435272108008096,0.6869093157241835,0.6777632585807751,488,203
resnet18,4,1e-08,732,428,0.6216393442622951,6.660461535649032e-43,10.002696585493117,9.965875417566295,244,225,0.11758055398530243,0.03435272108008096,0.9045847144281531,0.6777632585807751,488,203
stretch_nhe,0,0.0001,735,428,0.6526748971193416,1.4359744938134556e-47,7.109857521162276,7.746104331622411,243,225,0.06842484681004446,0.4855056288016564,0.2234903761902463,0.0,492,203
stretch_nhe,0,1e-06,735,428,0.6526748971193416,1.4359744938134556e-47,9.05731728765651,9.40468617691054,243,225,0.07281028475309384,0.40735850184112893,0.42148294185648905,0.42113288882418765,492,203
stretch_nhe,0,1e-08,735,428,0.6526748971193416,1.4359744938134556e-47,9.520459893303645,9.40468617691054,243,225,0.07281028475309384,0.40735850184112893,0.5201574082896825,0.42113288882418765,492,203
stretch_nhe,1,0.0001,734,428,0.6039162112932605,2.5306613988467006e-40,6.221459280568257,6.599037159409037,244,225,0.07945109078114004,0.3055149080386958,0.38427512756236315,0.0,490,203
stretch_nhe,1,1e-06,734,428,0.6039162112932605,2.5306613988467006e-40,8.161791977289717,8.40847053558813,244,225,0.08015482054890923,0.2957504806841213,0.6037562058101749,0.2837443846473029,490,203
stretch_nhe,1,1e-08,734,428,0.6039162112932605,2.5306613988467006e-40,8.708443712838683,8.40847053558813,244,225,0.08015482054890923,0.2957504806841213,0.6497640295412754,0.2837443846473029,490,203
stretch_nhe,2,0.0001,734,428,0.6350273224043715,6.607507210763761e-45,6.204017084273737,6.393385899705024,244,225,0.10007037297677691,0.10405242160146398,0.2939623214248671,0.0,490,203
stretch_nhe,2,1e-06,734,428,0.6350273224043715,6.607507210763761e-45,8.412217804258841,8.87710673247754,244,225,0.11463757916959888,0.04181394547384041,0.6373647029610685,0.7941950613777351,490,203
stretch_nhe,2,1e-08,734,428,0.6350273224043715,6.607507210763761e-45,9.194034714189865,8.87710673247754,244,225,0.11463757916959888,0.04181394547384041,0.669784149690784,0.7941950613777351,490,203
stretch_nhe,3,0.0001,734,428,0.5855009107468124,9.379984630117565e-38,6.006595552151854,6.493400500516323,244,225,0.03525686136523575,0.9907172915442557,0.21971152766497876,0.0,490,203
stretch_nhe,3,1e-06,734,428,0.5855009107468124,9.379984630117565e-38,7.980874821396656,8.56019494232277,244,225,0.03525686136523575,0.9907172915442557,0.2841186946640539,-0.1776820117280664,490,203
stretch_nhe,3,1e-08,734,428,0.5855009107468124,9.379984630117565e-38,8.636888981365285,8.56019494232277,244,225,0.042646023926812104,0.9440485771210592,0.37959526278856615,-0.1776820117280664,490,203
stretch_nhe,4,0.0001,732,428,0.5913296903460837,1.470081024261451e-38,5.492463952883907,6.723892371182661,244,225,0.05602438827424695,0.7321009585185494,0.25437320361613425,-0.046300380560818866,488,203
