feature,family,normal_domain_smd,normal_domain_smd_ci_low,normal_domain_smd_ci_high,normal_domain_ks,normal_domain_ks_p,normal_domain_auc,normal_domain_wasserstein_standardised,normal_domain_n_a,normal_domain_n_b,pneumonia_domain_smd,pneumonia_domain_smd_ci_low,pneumonia_domain_smd_ci_high,pneumonia_domain_ks,pneumonia_domain_ks_p,pneumonia_domain_auc,pneumonia_domain_wasserstein_standardised,pneumonia_domain_n_a,pneumonia_domain_n_b,class_auc_development,class_auc_benchmark,differential_smd,differential_auc,normal_domain_ks_p_holm,normal_domain_ks_p_bh,pneumonia_domain_ks_p_bh,passes_gate
file_size_per_pixel,quality,-6.009851932222643,-6.425689103201667,-5.647328371136071,0.9827727645611156,4.207725244981591e-240,0.9981332604138182,2.417219769812644,1219,225,0.16986683432505437,0.033972850276832535,0.30019718163041653,0.10226600985221675,0.03670970636183226,0.5283381924198252,0.19919987436251352,2450,203,0.9988937067854213,0.5046305418719211,5.839985097897589,0.46979506799399307,1.7251673504424524e-238,1.7251673504424524e-238,0.08361655337972904,True
noise_estimate,quality,-2.2944048233917287,-2.4958793616567143,-2.133642003225924,0.9198031173092699,1.9977397458413993e-185,0.989532403609516,1.5416461351746236,1219,225,0.060540881939387475,-0.05830171060543502,0.17627743812353605,0.12928923293455313,0.0034114362392481624,0.5406273248215543,0.1713979730813781,2450,203,0.9849059952118665,0.5975697865353038,2.2338639414523414,0.4489050787879617,7.990958983365597e-184,4.0953664789748685e-184,0.02331148096819578,True
file_size_bytes,quality,-1.795788856754639,-1.9592446551671836,-1.6534245006030557,0.8022021693555738,8.337859304848186e-127,0.9463166529942576,1.3037004233172895,1219,225,-0.044454514224814834,-0.17358283146773554,0.08903809877378123,0.07932441942294159,0.1784393153999904,0.5023695586609027,0.11473552397960328,2450,203,0.9975831645209355,0.8916256157635468,1.751334342529824,0.4439470943333549,3.251765128890793e-125,1.1395074383292522e-125,0.24428026207948741,True
laplacian_variance,quality,-0.7665564806984366,-0.9364195698495162,-0.6199481696636897,0.621828456840762,3.0516191841700196e-70,0.8076127973748974,0.6673125778835678,1219,225,0.29114911161711365,0.17725417759905293,0.3928866176455737,0.17596059113300494,1.507002109723735e-05,0.596061123956972,0.396908423191284,2450,203,0.5044958229395121,0.8499178981937603,0.475407369081323,0.21155167341792547,1.1596152899846074e-68,3.12790966377427e-69,0.0004958124812529371,True
aspect,geometry,0.821556584756453,0.6704748243926152,0.978705639767747,0.3442384468143287,1.52946336145743e-20,0.704340534135448,0.9325146579729738,1219,225,0.00602612589046058,-0.13316649642175793,0.15097394748105372,0.028374384236453203,0.9971282685673758,0.5061214436513521,0.0636558363862413,2450,203,0.8817552024911688,0.6997810618500273,0.8155304588659924,0.1982190904840958,5.506068101246747e-19,1.0451332969959105e-19,1.0,True
near_white_frac,photometry,-0.11609526856798436,-0.279576436161982,0.024775416079131557,0.3453686992981497,1.1266988229487324e-20,0.6981022696199071,0.13091263284880963,1219,225,0.14527087099368444,0.02596197305561693,0.28776132342172106,0.12403940886699508,0.005653511148203081,0.5411128983613149,0.20449744017133073,2450,203,0.6942147293700089,0.5596496989600438,-0.02917560242570008,0.15698937125859214,4.16878564491031e-19,9.238930348179606e-20,0.02575488411959181,False
dynamic_range,photometry,-0.4267831426027691,-0.5611229626338706,-0.2869280949575458,0.22130343633214838,1.1991934445178075e-08,0.6350013672409078,0.4482619656030836,1219,225,0.10564988150585937,-0.020101053047728815,0.24117688459686856,0.09536945812807882,0.061586732201587766,0.5224248517140846,0.14847786307668656,2450,203,0.8099511141618255,0.739288451012589,0.32113326109690976,0.11257651552682324,4.077257711360546e-07,6.145866403153764e-08,0.11024253661877172,False
width,geometry,0.4307578944945305,0.2916039526330407,0.5888505619089943,0.20889253486464315,9.552553292083924e-08,0.6141700847689363,0.467524745506107,1219,225,-0.08800067994300705,-0.20629518976245995,0.037317009935588376,0.0964954257565095,0.05673751610611671,0.5212435910324722,0.23159857638515474,2450,203,0.8699869414541863,0.9328297755883963,0.34275721455152347,0.09292649373646411,3.152342586387695e-06,4.351718721949343e-07,0.11024253661877172,False
edge_density,quality,-0.2807746315800151,-0.46525050325541006,-0.10877305397555341,0.25877677513444536,1.077132890544412e-11,0.6100264333242184,0.6128199078706954,1219,225,-0.17523116752265183,-0.33162024649868227,-0.025006890486306575,0.141210415200563,0.001001718811930959,0.5388197446466271,0.21459466909160543,2450,203,0.7721407644271818,0.7098850574712643,0.10554346405736326,0.07120668867759128,3.769965116905442e-10,6.308921216045842e-11,0.008214094257833865,False
corner_mean,geometry,-0.2854285778905881,-0.4420787427491983,-0.13524406759260374,0.16650442074560204,4.498816637412484e-05,0.5925439795825358,0.2905529997252863,1219,225,-0.008923645341154706,-0.1432247910587443,0.12498293578565026,0.04661505981703026,0.7908747853006519,0.5086317482658089,0.08986458534268556,2450,203,0.5025313488808156,0.6030432402846196,0.2765049325494334,0.08391223131672687,0.0012596686584754955,0.0001317510586670799,0.8763747620899115,False
