experiment,feature,family,spearman_rho,spearman_p,cliffs_delta_fp_vs_tn,median_shift_fp_vs_tn,n_fp,n_tn,spearman_p_bh
resnet18,width,geometry,-0.5593103245400353,6.431337554869087e-20,-0.655181671737963,-376.0,74,151,6.592120993740814e-19
resnet18,height,geometry,-0.626735336110936,5.874869459064918e-26,-0.713441918739932,-442.0,74,151,2.4086964782166166e-24
resnet18,log_area,geometry,-0.6082063381318726,3.741360378103152e-24,-0.6989439770896724,-0.5687349163666671,74,151,7.66978877511146e-23
resnet18,aspect,geometry,0.561203035084592,4.5414342751595744e-20,0.610166457848577,0.2567835720669842,74,151,6.206626842718084e-19
resnet18,fg_box_width_frac,geometry,0.18875117583206596,0.004496097027153435,0.1804188294254519,0.04118001802402371,74,151,0.009226092568331287
resnet18,fg_box_height_frac,geometry,0.06789418030998967,0.3106253273321225,0.006622516556291391,0.0,74,151,0.374577600606383
resnet18,fg_occupancy,geometry,0.2552288152355877,0.00010820231318670779,0.2020762484338643,0.0443018250770747,74,151,0.0004032995309686381
resnet18,fg_box_occupancy,geometry,0.19110918017602702,0.0040117343100748385,0.18274565956685157,0.04118001802402371,74,151,0.009226092568331287
resnet18,margin_top_frac,geometry,-0.06789418030998967,0.3106253273321225,-0.006622516556291391,0.0,74,151,0.374577600606383
resnet18,margin_bottom_frac,geometry,-0.06789418030998967,0.3106253273321225,-0.006622516556291391,0.0,74,151,0.374577600606383
resnet18,margin_left_frac,geometry,-0.19839984936652214,0.0027971478325841763,-0.2751029174870235,-0.003750310056866749,74,151,0.008191647223996516
resnet18,margin_right_frac,geometry,-0.19243594229927963,0.003760381958949163,-0.15777698228029358,-0.02999922307683765,74,151,0.009226092568331287
resnet18,background_frac,geometry,-0.2552288152355877,0.00010820231318670779,-0.2020762484338643,-0.0443018250770747,74,151,0.0004032995309686381
resnet18,centre_border_contrast,geometry,0.23486112109760696,0.000380686107737729,0.2434222301771971,4.4423222806884795,74,151,0.001300677534770574
resnet18,corner_uniformity,geometry,0.18918314568833278,0.00440360983343004,0.1720064435296223,5.428275817397466,74,151,0.009226092568331287
resnet18,corner_mean,geometry,0.06490576135621907,0.3324523465663594,0.025237157687488798,1.3272508198800637,74,151,0.3894441774063067
resnet18,intensity_mean,photometry,0.06084233631663952,0.363670238048259,-0.058349740468945754,-2.2726104621821577,74,151,0.4141799933327394
resnet18,intensity_std,photometry,-0.0448293653835077,0.5034753422048626,-0.15339180239842487,-1.3289205883030064,74,151,0.5432233955368254
resnet18,intensity_p1,photometry,-0.16025591963397923,0.016127344836300125,-0.1724539108645069,0.0,74,151,0.030055506285832048
resnet18,intensity_p5,photometry,-0.13843231763145358,0.03799397887688872,-0.14864864864864863,0.0,74,151,0.062310125358097504
resnet18,intensity_p25,photometry,0.07595500080150967,0.25653498685452114,0.00017898693395379528,-3.5,74,151,0.3392882084204957
resnet18,intensity_p50,photometry,0.11058529596664807,0.09800180077731445,-0.023357794880973726,-2.5,74,151,0.14881754932851454
resnet18,intensity_p75,photometry,0.037810714387391184,0.5726156143995088,-0.12359047789511368,-3.5,74,151,0.6019805177020476
resnet18,intensity_p95,photometry,-0.07877446573844794,0.23924926240111238,-0.2103096473957401,-3.5,74,151,0.32697399194818694
resnet18,intensity_p99,photometry,-0.05828844561580883,0.3841927622455089,-0.14202613209235726,-2.5,74,151,0.4257271149206991
resnet18,dynamic_range,photometry,0.021825779864786354,0.7447254914723025,-0.04027206013960988,0.5,74,151,0.7633436287591101
resnet18,iqr,photometry,-0.11087682828412634,0.09711415777854769,-0.17012708072310723,-4.5,74,151,0.14881754932851454
resnet18,histogram_entropy,photometry,-0.18873065902654917,0.004500532960161603,-0.2022552353678182,-0.03515849126394155,74,151,0.009226092568331287
resnet18,skewness,photometry,-0.1947009545150888,0.0033639428632608512,-0.12654376230535175,-0.060180227389834196,74,151,0.009194777159579661
resnet18,kurtosis,photometry,0.16479364053438245,0.013320563617064886,0.16627886164310007,0.12084294654001893,74,151,0.026006814680936203
resnet18,near_black_frac,photometry,0.15086031726216068,0.02361907982162025,0.16771075711473066,0.013295584966914742,74,151,0.04034926136193459
resnet18,near_white_frac,photometry,0.4008835878069926,4.276155799718456e-10,0.5238947556828352,0.000437643031764,74,151,2.5046055398350954e-09
resnet18,laplacian_variance,quality,0.308609599091034,2.3694238180826238e-06,0.4063003400751745,24.075217590692567,74,151,1.0794041837931952e-05
resnet18,tenengrad,quality,0.36277156771880287,2.102933208256711e-08,0.4800429568641489,347.96357727131146,74,151,1.0777532692315644e-07
resnet18,edge_density,quality,-0.10078863842339036,0.1317466928492859,-0.044746733488455315,0.0003683700808266993,74,151,0.1929148002435972
resnet18,noise_estimate,quality,0.2219397033868361,0.0008009644761985198,0.31591193842849474,0.06868502639552598,74,151,0.0025261187326261012
resnet18,unique_gray_levels,quality,0.0799414266683189,0.23233914460332283,0.0878825845713263,0.0,74,151,0.32697399194818694
resnet18,file_size_bytes,quality,-0.5507284166101248,3.03053881559288e-19,-0.5988902810094863,-87649.0,74,151,2.4850418287861612e-18
resnet18,file_size_per_pixel,quality,0.15599780551870973,0.01921745595949152,0.25147664220511906,0.007212983182991642,74,151,0.03425720410170228
resnet18,hf_energy_frac_norm256,quality,0.47543547890499877,4.3252976608902074e-14,0.6239484517630214,0.026786877293117517,74,151,2.955620068274975e-13
resnet18,blockiness_norm256,quality,-0.0008001481248536873,0.99047717578186,-0.015213889386074764,0.00818985749657708,74,151,0.99047717578186
stretch_nhe,width,geometry,-0.4890391580875548,6.255609721225456e-15,-0.6465182764958137,-387.5,59,166,7.678942889562139e-14
stretch_nhe,height,geometry,-0.53248309609615,7.083810918375575e-18,-0.7012456606085358,-431.0,59,166,2.9043624765339857e-16
stretch_nhe,log_area,geometry,-0.5218075862871819,4.1075770862258635e-17,-0.6883806412089035,-0.5687564643430942,59,166,8.420533026763021e-16
stretch_nhe,aspect,geometry,0.45389246412371687,7.799493925266077e-13,0.5971002654686544,0.26135831461787995,59,166,6.395585018718184e-12
stretch_nhe,fg_box_width_frac,geometry,0.2520282721289259,0.00013278530550106,0.23973861547886455,0.04446921310970531,59,166,0.00038887125182453285
stretch_nhe,fg_box_height_frac,geometry,0.07509505844312395,0.2619744778866261,0.006024096385542169,0.0,59,166,0.32548344222277786
stretch_nhe,fg_occupancy,geometry,0.27651984646009614,2.58763278858113e-05,0.2479068817643455,0.0518418014190174,59,166,9.644813121075122e-05
stretch_nhe,fg_box_occupancy,geometry,0.25433772250749687,0.00011457976482845173,0.24178068205023484,0.04446921310970531,59,166,0.0003613669506128093
stretch_nhe,margin_top_frac,geometry,-0.07509505844312395,0.2619744778866261,-0.006024096385542169,0.0,59,166,0.32548344222277786
