experiment,calibrator,post_specificity,pre_specificity,post_auc,pre_auc,post_brier,pre_brier,rank_correlation
resnet18,raw,0.7022222222222222,0.7022222222222222,0.9488669950738916,0.9488669950738916,0.2028442865916296,0.2028442865916296,1.0
resnet18,temperature,0.7022222222222222,0.7022222222222222,0.9488669950738916,0.9501258894362343,0.19756527638764282,0.19878342252656742,0.997880275049813
resnet18,intercept,0.7022222222222222,0.7022222222222222,0.9488669950738916,0.9501696770662288,0.2433886449513276,0.23175430359736043,0.9990474113655741
resnet18,platt,0.7022222222222222,0.6977777777777778,0.9488669950738916,0.9510454296661193,0.23725612407277125,0.22832702300005914,0.9945740903331706
resnet18,beta,0.7022222222222222,0.6844444444444444,0.9488669950738916,0.9490311986863711,0.23759327801281666,0.22780744704854833,0.9944023984052925
stretch_nhe,raw,0.7644444444444445,0.7644444444444445,0.9669184455391353,0.9669184455391353,0.1489190337515574,0.1489190337515574,1.0
stretch_nhe,temperature,0.7644444444444445,0.76,0.9669184455391353,0.9675314723590586,0.1443444301853664,0.14648335226853518,0.9963818926884279
stretch_nhe,intercept,0.76,0.7733333333333333,0.9669184455391353,0.9658894362342638,0.19930904315707856,0.18505907255839812,0.999237777638156
stretch_nhe,platt,0.7644444444444445,0.76,0.9669184455391353,0.966152162014231,0.19388808587624579,0.18247148444991595,0.9932091803714271
stretch_nhe,beta,0.76,0.7644444444444445,0.9669184455391353,0.9656267104542966,0.18561653806992612,0.17908669781828584,0.9987123339899211
augment_manh,raw,0.6755555555555556,0.6755555555555556,0.9560591133004926,0.9560591133004926,0.19412223325689007,0.19412223325689007,1.0
augment_manh,temperature,0.6755555555555556,0.68,0.9560591133004926,0.9540010946907499,0.1949280966705621,0.1954585292969237,0.9948160072683638
augment_manh,intercept,0.6622222222222223,0.6755555555555556,0.9560591133004926,0.9563218390804599,0.2243726619277468,0.21719471746204635,0.9988876220469541
augment_manh,platt,0.6622222222222223,0.6711111111111111,0.9560591133004926,0.9560591133004925,0.2269150939680111,0.22076615042539033,0.9948142471161214
augment_manh,beta,0.6622222222222223,0.6666666666666666,0.9560591133004926,0.9579419813902573,0.22548468683081865,0.2195571371141764,0.992552910654717
stretch_manh,raw,0.7688888888888888,0.7688888888888888,0.9778653530377668,0.9778653530377668,0.08593028538054533,0.08593028538054533,0.9999999999999999
stretch_manh,temperature,0.7688888888888888,0.7688888888888888,0.9778653530377668,0.9781718664477285,0.08525551487086516,0.08593367424214439,0.999219066426802
stretch_manh,intercept,0.7466666666666667,0.8088888888888889,0.9778653530377668,0.9776902025177887,0.16337096279776267,0.1390745039271395,0.998483169789056
stretch_manh,platt,0.7422222222222222,0.8044444444444444,0.9778653530377668,0.9773617952928298,0.16245467966315746,0.14006487352426794,0.9972858071856686
stretch_manh,beta,0.7466666666666667,0.8088888888888889,0.9778653530377668,0.9777777777777777,0.16407135943043208,0.13989308286316535,0.9980295097153706
