experiment,correction,estimated_target_prior,true_target_prior,prior_error,oracle_only,threshold,specificity,sensitivity,brier,log_loss,ece_adaptive,calibration_slope,calibration_intercept
resnet18,none,0.6677568819841919,0.4742990654205608,0.19345781656363115,False,0.8857100605964661,0.7022222222222222,0.9950738916256158,0.20284425450706003,1.1079240558664978,0.23500026118332532,0.5007628884205814,-3.034046257575185
resnet18,oracle_true_target,0.4742990654205608,0.4742990654205608,0.0,True,0.8857100605964661,0.7111111111111111,0.9852216748768473,0.17670113459337244,0.9316431236944904,0.2053263334967322,0.5007568919128502,-2.6329348029587902
resnet18,em,0.7181857689849821,0.4742990654205608,0.24388670356442133,False,0.8857100605964661,0.6933333333333334,0.9950738916256158,0.2111951069567442,1.16477331445851,0.24388841843673228,0.500858106585402,-3.1534269664689276
resnet18,bbse,0.6466114535164837,0.4742990654205608,0.17231238809592297,False,0.8857100605964661,0.7022222222222222,0.9950738916256158,0.19960454249448242,1.0860274336491493,0.23148718489085443,0.5007615319564224,-2.9870287220218867
stretch_nhe,none,0.6677568819841919,0.4742990654205608,0.19345781656363115,False,0.8309692740440369,0.7644444444444445,0.9901477832512315,0.14891898121840047,0.6565660074760261,0.18487365128555372,0.6317426372536592,-2.7460556503165456
stretch_nhe,oracle_true_target,0.4742990654205608,0.4742990654205608,0.0,True,0.8309692740440369,0.8355555555555556,0.9852216748768473,0.12030849214023936,0.5235132248781805,0.1520076979940186,0.6317349155347065,-2.240029374529291
stretch_nhe,em,0.6554457040440024,0.4742990654205608,0.1811466386234416,False,0.8309692740440369,0.7644444444444445,0.9901477832512315,0.1468271397086769,0.6465377728580015,0.18263581274418236,0.6317368695868839,-2.711320571739397
stretch_nhe,bbse,0.6106961052454981,0.4742990654205608,0.13639703982493734,False,0.8309692740440369,0.7955555555555556,0.9852216748768473,0.1396385398335267,0.6124220512870941,0.1747561464505268,0.6317433872909886,-2.589532780934899
augment_manh,none,0.6677568819841919,0.4742990654205608,0.19345781656363115,False,0.7969589332739512,0.6755555555555556,0.9950738916256158,0.19412220618569026,0.8951229065543506,0.23557473533385034,0.6638158128269789,-3.303105336833514
augment_manh,oracle_true_target,0.4742990654205608,0.4742990654205608,0.0,True,0.7969589332739512,0.7244444444444444,0.9852216748768473,0.163464534211377,0.721943037967743,0.1973475986689828,0.6638187217725211,-2.7714389189176405
augment_manh,em,0.7229064414049026,0.4742990654205608,0.2486073759843418,False,0.7969589332739512,0.6577777777777778,0.9950738916256158,0.20535021428320863,0.958270841111351,0.24860980492614432,0.6638199632257227,-3.4763222771880247
augment_manh,bbse,0.6611097081739769,0.4742990654205608,0.18681064275341608,False,0.7969589332739512,0.68,0.9950738916256158,0.19287979414974626,0.8881215949198134,0.2341013425054784,0.6638266009936331,-3.283345175030152
stretch_manh,none,0.6677568819841919,0.4742990654205608,0.19345781656363115,False,0.4133181273937225,0.7688888888888888,0.9950738916256158,0.08593030314412796,0.3376038101811038,0.12072562791885409,0.8016854733978349,-2.0714887193245373
stretch_manh,oracle_true_target,0.4742990654205608,0.4742990654205608,0.0,True,0.4133181273937225,0.84,0.9950738916256158,0.06449845931522688,0.2595661828483255,0.08190845805956694,0.8016997630154569,-1.4293591196078166
stretch_manh,em,0.5709946334268232,0.4742990654205608,0.09669556800626244,False,0.4133181273937225,0.8133333333333334,0.9950738916256158,0.0735798434059413,0.29345744517820704,0.10036894527536641,0.8017008268915244,-1.7410960397738227
stretch_manh,bbse,0.6053433717874688,0.4742990654205608,0.131044306366908,False,0.4133181273937225,0.7866666666666666,0.9950738916256158,0.07751453723217372,0.30767910697670414,0.10728970274945467,0.8016856585818968,-1.8548102068659158
