experiment,layer,probe,score,metric,n
resnet18,layer1,domain_in_NORMAL,0.9407638319205179,auc,1444
resnet18,layer1,domain_in_PNEUMONIA,0.6612466070171911,auc,2653
resnet18,layer2,domain_in_NORMAL,0.9535575608422204,auc,1444
resnet18,layer2,domain_in_PNEUMONIA,0.6944445561475823,auc,2653
resnet18,layer3,domain_in_NORMAL,0.9784267614620363,auc,1444
resnet18,layer3,domain_in_PNEUMONIA,0.727304714989444,auc,2653
resnet18,layer4,domain_in_NORMAL,0.9738619998177012,auc,1444
resnet18,layer4,domain_in_PNEUMONIA,0.7010234241479842,auc,2653
resnet18,penultimate,domain_in_NORMAL,0.9738619998177012,auc,1444
resnet18,penultimate,domain_in_PNEUMONIA,0.7010234241479842,auc,2653
resnet18,penultimate,nuisance_megapixels,0.8438398622399041,r2,4097
resnet18,penultimate,nuisance_noise_estimate,0.6612633731231563,r2,4097
resnet18,penultimate,nuisance_laplacian_variance,0.36315372154870373,r2,4097
resnet18,penultimate,nuisance_file_size_per_pixel,0.8676830119099602,r2,4097
resnet18,penultimate,false_positive,0.9842491498120638,auc,225
stretch_manh,layer1,domain_in_NORMAL,0.9373110928812323,auc,1444
stretch_manh,layer1,domain_in_PNEUMONIA,0.728527194128883,auc,2653
stretch_manh,layer2,domain_in_NORMAL,0.9501996171725458,auc,1444
stretch_manh,layer2,domain_in_PNEUMONIA,0.7046104353071277,auc,2653
stretch_manh,layer3,domain_in_NORMAL,0.9562628748518822,auc,1444
stretch_manh,layer3,domain_in_PNEUMONIA,0.6926369759726551,auc,2653
stretch_manh,layer4,domain_in_NORMAL,0.9562920426579163,auc,1444
stretch_manh,layer4,domain_in_PNEUMONIA,0.6950799235950539,auc,2653
stretch_manh,penultimate,domain_in_NORMAL,0.9562920426579163,auc,1444
stretch_manh,penultimate,domain_in_PNEUMONIA,0.6950799235950539,auc,2653
stretch_manh,penultimate,nuisance_megapixels,0.8381397440587044,r2,4097
stretch_manh,penultimate,nuisance_noise_estimate,0.612753269926441,r2,4097
stretch_manh,penultimate,nuisance_laplacian_variance,0.2849680265610216,r2,4097
stretch_manh,penultimate,nuisance_file_size_per_pixel,0.8141256640789527,r2,4097
stretch_manh,penultimate,false_positive,0.9776567363272566,auc,225
