epoch,train_loss,specificity,sensitivity,threshold,tn,fp,fn,tp,nll,brier,auc,pr_auc,lr
1,0.16872653022239154,0.9795081967213115,0.9714285714285714,0.09349218755960464,239,5,14,476,0.23455335106700187,0.06740886714363777,0.99610237537638,0.9981829082105462,0.0001
2,0.09094800165092404,0.9836065573770492,0.9714285714285714,0.07575344294309616,240,4,14,476,0.1834059799699955,0.049787965778556244,0.9964202074272331,0.9982206286409916,0.0001
3,0.0784178794481594,0.9877049180327869,0.9714285714285714,0.11554128676652908,241,3,14,476,0.14400385679260455,0.039116846532268344,0.997248243559719,0.9985738581910631,0.0001
4,0.0638356530707273,0.9672131147540983,0.9714285714285714,0.02255188673734665,236,8,14,476,0.25533846279524536,0.06510860816839456,0.9974406155904985,0.9987500750519942,0.0001
5,0.06169016558983871,0.9918032786885246,0.9714285714285714,0.028815744444727898,242,2,14,476,0.250879695265864,0.06428093691102789,0.9980930076948813,0.9990739976254035,0.0001
6,0.053221006283296665,0.9877049180327869,0.9714285714285714,0.18920978903770447,241,3,14,476,0.11327638647591635,0.03042627667285548,0.9982184677149548,0.9991579370381303,0.0001
7,0.05764797090898466,0.9918032786885246,0.9714285714285714,0.0764920562505722,242,2,14,476,0.1814774389044104,0.05272029130565364,0.9981097356975577,0.9990781720614041,0.0001
8,0.054795867207841104,0.9959016393442623,0.9714285714285714,0.4480801820755005,243,1,14,476,0.07605670554282638,0.02128818313964243,0.9982351957176313,0.9991816140377869,0.0001
9,0.04643088611809424,0.9918032786885246,0.9714285714285714,0.09640476852655411,242,2,14,476,0.13560167160247616,0.03875240484756476,0.9988374038139847,0.9994363823986664,0.0001
10,0.035676097638453495,0.9836065573770492,0.9714285714285714,0.5296041965484619,240,4,14,476,0.05743111579542633,0.016359464178791423,0.9984442957510873,0.9992696090609309,0.0001
11,0.033043026965143246,0.9959016393442623,0.9714285714285714,0.4978243410587311,243,1,14,476,0.05749919788161447,0.014779652333127696,0.999021411843426,0.9995449292978762,0.0001
12,0.0264307771965722,0.9918032786885246,0.9714285714285714,0.7661260366439819,242,2,14,476,0.036057260200892886,0.009753094143996463,0.999130143860823,0.9995845498344419,0.0001
